event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_name,r_id,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,r_nick_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_id,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per,b_nick_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner,winner_id
48544433372ecfa6,UFC Freedom 250,2026/06/14,"Washington, DC, USA",7208e40818401e88,lightweight,1,KO/TKO,4,300,5,Marc Goddard,Ilia Topuria,54f64b5e283b0ce7,1,97,162,59,111,177,63,1,3,33.0,0,152,55,112,49,37,45,82.0,5,5,100.0,68,125,54,22,29,76.0,7,8,88.0,56,38,5,70,22,7,El Matador,17,1,0,170.18,70.31,175.26,Orthodox,1997/01/21,4.82,50,3.97,62,1.73,57,95,0.9,Justin Gaethje,9e8f6c728eb01124,0,91,192,47,119,228,52,0,5,0.0,0,92,79,175,45,8,12,67.0,4,5,80.0,73,167,44,15,21,71.0,3,4,75.0,86,8,4,80,16,3,The Highlight,28,5,0,180.34,70.31,177.8,Orthodox,1988/11/14,6.29,57,6.83,50,0.3,26,73,0.0,Justin Gaethje,9e8f6c728eb01124
48544433372ecfa6,UFC Freedom 250,2026/06/14,"Washington, DC, USA",5727d5be8c373346,interim heavyweight,1,KO/TKO,2,87,5,Herb Dean,Alex Pereira,e5549c82bfb5582d,0,12,33,36,12,33,36,0,0,,0,0,3,20,15,1,3,33.0,8,10,80.0,12,33,36,0,0,,0,0,,25,8,66,100,0,0,Poatan,13,4,0,193.04,92.99,200.66,Orthodox,1987/07/07,5.01,61,3.72,52,0.11,50,80,0.2,Ciryl Gane,787bb1f087ccff8a,1,54,86,62,54,86,63,0,2,0.0,0,12,39,71,55,4,4,100.0,11,11,100.0,36,66,55,3,3,100.0,15,17,88.0,72,7,20,66,5,27,Bon Gamin,14,2,0,193.04,112.04,205.74,Orthodox,1990/04/12,5.4,61,2.31,60,0.66,23,47,0.6,Ciryl Gane,787bb1f087ccff8a
48544433372ecfa6,UFC Freedom 250,2026/06/14,"Washington, DC, USA",60de0423ae6ed097,bantamweight,0,KO/TKO,2,242,3,Jason Herzog,Sean O'Malley,b50a426a33da0012,1,41,81,50,41,81,51,0,0,,0,2,32,66,48,7,13,54.0,2,2,100.0,41,81,51,0,0,,0,0,,78,17,4,100,0,0,Suga,20,3,0,180.34,61.23,182.88,Switch,1994/10/24,5.98,60,3.4,59,0.23,42,60,0.2,Aiemann Zahabi,24656ef4d605c96f,0,32,56,57,32,56,56,0,0,,0,0,6,25,24,0,0,,26,31,84.0,32,56,56,0,0,,0,0,,18,0,81,100,0,0,Icemann,14,3,0,172.72,61.23,172.72,Orthodox,1987/11/19,4.47,48,4.11,68,0.12,14,83,0.0,Sean O'Malley,b50a426a33da0012
48544433372ecfa6,UFC Freedom 250,2026/06/14,"Washington, DC, USA",30cdb851f6c63444,heavyweight,0,KO/TKO,2,249,3,Herb Dean,Josh Hokit,955da1675ad58a50,1,86,117,73,105,138,76,2,3,66.0,1,244,74,103,72,7,9,78.0,5,5,100.0,39,60,65,11,13,85.0,36,44,82.0,86,8,5,45,12,41,,10,0,0,185.42,106.59,185.42,Orthodox,1997/11/12,9.29,64,5.28,48,3.73,47,77,0.4,Derrick Lewis,d3df1add9d9a7efb,0,7,40,17,8,41,20,0,1,0.0,0,0,5,37,14,2,2,100.0,0,1,0.0,4,34,12,3,6,50.0,0,0,,71,28,0,57,42,0,The Black Beast,29,14,0,190.5,117.93,200.66,Orthodox,1985/02/07,2.41,48,2.79,38,0.53,25,51,0.0,Josh Hokit,955da1675ad58a50
48544433372ecfa6,UFC Freedom 250,2026/06/14,"Washington, DC, USA",9a9b30b3165b62e4,lightweight,0,KO/TKO,1,269,3,Mike Beltran,Mauricio Ruffy,9c393e836a852f30,2,19,40,47,20,41,49,0,0,,0,13,16,36,44,1,2,50.0,2,2,100.0,17,37,46,0,0,,2,3,67.0,84,5,10,89,0,10,,14,2,0,180.34,70.31,190.5,Orthodox,1996/06/17,4.19,57,3.83,59,0.0,0,86,0.0,Michael Chandler,4b93a88f3b1de35b,0,3,12,25,3,12,25,0,3,0.0,0,0,2,7,28,0,3,0.0,1,2,50.0,3,12,25,0,0,,0,0,,66,0,33,100,0,0,Iron,23,11,0,172.72,70.31,180.34,Orthodox,1986/04/24,3.91,49,4.51,43,1.88,37,61,0.5,Mauricio Ruffy,9c393e836a852f30
48544433372ecfa6,UFC Freedom 250,2026/06/14,"Washington, DC, USA",00e8d4b961a65d21,middleweight,0,KO/TKO,1,274,3,Jason Herzog,Bo Nickal,35673bf5204524ee,1,16,24,66,44,53,83,1,1,100.0,0,194,15,23,65,0,0,,1,1,100.0,7,13,54,0,0,,9,11,82.0,93,0,6,43,0,56,,9,1,0,185.42,83.91,193.04,Southpaw,1996/01/14,3.36,61,1.93,60,3.12,57,100,2.3,Kyle Daukaus,d6c0cdd7e467c440,0,2,7,28,26,31,84,0,0,,0,0,1,6,17,0,0,,1,1,100.0,2,7,28,0,0,,0,0,,50,0,50,100,0,0,,17,5,0,187.96,83.91,193.04,Southpaw,1993/02/27,3.16,53,2.94,42,1.97,25,79,2.0,Bo Nickal,35673bf5204524ee
48544433372ecfa6,UFC Freedom 250,2026/06/14,"Washington, DC, USA",127ba4a1ccb3d4a6,featherweight,0,KO/TKO,2,162,3,Mike Beltran,Diego Lopes,f166e93d04a8c274,1,24,66,36,24,66,36,0,1,0.0,0,5,21,57,37,2,8,25.0,1,1,100.0,17,58,28,0,0,,7,8,88.0,87,8,4,70,0,29,,28,8,0,180.34,65.77,182.88,Orthodox,1994/12/30,3.79,47,4.65,46,0.82,46,68,1.3,Steve Garcia,97cf1a2c7c5e7889,0,47,104,45,47,104,45,0,0,,0,0,33,89,37,3,4,75.0,11,11,100.0,47,104,45,0,0,,0,0,,70,6,23,100,0,0,Mean Machine,19,6,0,182.88,65.77,190.5,Southpaw,1992/05/22,5.46,48,2.22,59,0.77,40,89,0.4,Diego Lopes,f166e93d04a8c274
ba17afef01ed78b6,UFC Fight Night: Muhammad vs. Bonfim,2026/06/06,"Las Vegas, Nevada, USA",5c69b019e6deee41,welterweight,0,Decision - Unanimous,5,300,5,Herb Dean,Belal Muhammad,b1b0729d27936f2f,0,86,275,31,86,275,31,0,2,0.0,0,8,52,228,23,22,33,67.0,12,14,86.0,86,273,32,0,2,0.0,0,0,,60,25,13,100,0,0,Remember the Name,24,6,0,180.34,77.11,182.88,Orthodox,1988/07/09,4.36,42,3.92,55,1.98,35,90,0.1,Gabriel Bonfim,01641ba5df0c69b0,0,128,260,49,128,261,49,0,1,0.0,0,0,83,212,39,11,11,100.0,34,37,92.0,126,258,49,2,2,100.0,0,0,,64,8,26,98,1,0,Marretinha,20,1,0,185.42,77.11,182.88,Orthodox,1997/08/20,4.76,47,3.61,64,2.57,53,78,1.0,Gabriel Bonfim,01641ba5df0c69b0
ba17afef01ed78b6,UFC Fight Night: Muhammad vs. Bonfim,2026/06/06,"Las Vegas, Nevada, USA",419fff06f338f5c6,middleweight,0,Decision - Unanimous,3,300,3,Dan Miragliotta,Brendan Allen,2f181c0467965b98,0,89,194,45,91,196,46,1,4,25.0,0,28,61,160,38,10,16,62.0,18,18,100.0,79,174,45,10,20,50.0,0,0,,68,11,20,88,11,0,All In,27,7,0,187.96,83.91,190.5,Orthodox,1995/12/28,3.75,52,3.78,47,1.52,41,57,1.1,Edmen Shahbazyan,4144798612ef96e5,0,90,180,50,90,180,50,0,1,0.0,0,8,83,171,49,4,4,100.0,3,5,60.0,85,173,49,5,7,71.0,0,0,,92,4,3,94,5,0,The Golden Boy,16,6,0,187.96,83.91,187.96,Orthodox,1997/11/20,4.06,48,3.87,50,1.43,36,66,0.4,Brendan Allen,2f181c0467965b98
ba17afef01ed78b6,UFC Fight Night: Muhammad vs. Bonfim,2026/06/06,"Las Vegas, Nevada, USA",58ffa2dac4f2e7d0,lightweight,0,Decision - Unanimous,3,300,3,Jason Herzog,Fares Ziam,1e4f273069fb9e85,0,16,32,50,48,70,69,3,5,60.0,1,307,11,26,42,3,4,75.0,2,2,100.0,12,26,46,3,4,75.0,1,2,50.0,68,18,12,75,18,6,The Smile Killer,18,5,0,185.42,70.31,190.5,Orthodox,1997/03/21,2.68,52,1.58,63,1.86,42,70,0.5,Tom Nolan,6c3b2525436cf5d4,0,31,66,46,65,116,56,2,6,33.0,0,407,13,38,34,11,16,69.0,7,12,57.0,13,32,41,7,13,54.0,11,21,52.0,41,35,22,41,22,35,Big Train,11,1,0,190.5,70.31,185.42,Southpaw,2000/03/08,4.84,45,3.74,48,1.08,26,58,1.4,Tom Nolan,6c3b2525436cf5d4
