event_id,fight_id,date,location,winner,winner_id
48544433372ecfa6,7208e40818401e88,"June 14, 2026","Washington, DC, USA",Justin Gaethje,9e8f6c728eb01124
48544433372ecfa6,5727d5be8c373346,"June 14, 2026","Washington, DC, USA",Ciryl Gane,787bb1f087ccff8a
48544433372ecfa6,60de0423ae6ed097,"June 14, 2026","Washington, DC, USA",Sean O'Malley,b50a426a33da0012
48544433372ecfa6,30cdb851f6c63444,"June 14, 2026","Washington, DC, USA",Josh Hokit,955da1675ad58a50
48544433372ecfa6,9a9b30b3165b62e4,"June 14, 2026","Washington, DC, USA",Mauricio Ruffy,9c393e836a852f30
48544433372ecfa6,00e8d4b961a65d21,"June 14, 2026","Washington, DC, USA",Bo Nickal,35673bf5204524ee
48544433372ecfa6,127ba4a1ccb3d4a6,"June 14, 2026","Washington, DC, USA",Diego Lopes,f166e93d04a8c274
ba17afef01ed78b6,5c69b019e6deee41,"June 06, 2026","Las Vegas, Nevada, USA",Gabriel Bonfim,01641ba5df0c69b0
ba17afef01ed78b6,419fff06f338f5c6,"June 06, 2026","Las Vegas, Nevada, USA",Brendan Allen,2f181c0467965b98
ba17afef01ed78b6,58ffa2dac4f2e7d0,"June 06, 2026","Las Vegas, Nevada, USA",Tom Nolan,6c3b2525436cf5d4
ba17afef01ed78b6,c47796e11a801e12,"June 06, 2026","Las Vegas, Nevada, USA",Bryce Mitchell,d9c6f19f958643e9
ba17afef01ed78b6,bfe4950b3de83e9c,"June 06, 2026","Las Vegas, Nevada, USA",Iwo Baraniewski,1c23ec2f1b71be40
ba17afef01ed78b6,5d2eedd05081ed23,"June 06, 2026","Las Vegas, Nevada, USA",Alessandro Costa,3fa97913cfd205d3
ba17afef01ed78b6,90940d93d6e0998f,"June 06, 2026","Las Vegas, Nevada, USA",Marcus McGhee,c0ac37a4a1133da9
ba17afef01ed78b6,20d74ed23d3e9b3a,"June 06, 2026","Las Vegas, Nevada, USA",Edgar Chairez,5ef94841c4bc3f86
ba17afef01ed78b6,98e77712f99956ff,"June 06, 2026","Las Vegas, Nevada, USA",Chelsea Chandler,af9efbfd63d39734
ba17afef01ed78b6,44cfbb8c3c356c65,"June 06, 2026","Las Vegas, Nevada, USA",Joanderson Brito,791c8437b341fba5
ba17afef01ed78b6,a6b211d8dab5edec,"June 06, 2026","Las Vegas, Nevada, USA",Jeisla Chaves,8061a3136026a673
ba17afef01ed78b6,b0474597b2c60482,"June 06, 2026","Las Vegas, Nevada, USA",Ketlen Souza,8bd4200561c77a62
